PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-27 15:08:51
/AppEvents,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels,KEY,,2004-08-19 23:04:31
/AppEvents/EventLabels/.Default,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/.Default/,SZ,Default Beep,
/AppEvents/EventLabels/.Default/DispFileName,SZ,@mmsys.cpl%2C-5824,
/AppEvents/EventLabels/ActivatingDocument,KEY,,2004-08-19 23:04:18
/AppEvents/EventLabels/ActivatingDocument/,SZ,Complete Navigation,
/AppEvents/EventLabels/AppGPFault,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/AppGPFault/,SZ,Program error,
/AppEvents/EventLabels/AppGPFault/DispFileName,SZ,@mmsys.cpl%2C-5825,
/AppEvents/EventLabels/CCSelect,KEY,,2004-08-19 23:04:18
/AppEvents/EventLabels/CCSelect/,SZ,Select,
/AppEvents/EventLabels/Close,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/Close/,SZ,Close program,
/AppEvents/EventLabels/Close/DispFileName,SZ,@mmsys.cpl%2C-5826,
/AppEvents/EventLabels/CriticalBatteryAlarm,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/CriticalBatteryAlarm/,SZ,Critical Battery Alarm,
/AppEvents/EventLabels/CriticalBatteryAlarm/DispFileName,SZ,@mmsys.cpl%2C-5827,
/AppEvents/EventLabels/DeviceConnect,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/DeviceConnect/,SZ,Device Connect,
/AppEvents/EventLabels/DeviceConnect/DispFileName,SZ,@mmsys.cpl%2C-5828,
/AppEvents/EventLabels/DeviceDisconnect,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/DeviceDisconnect/,SZ,Device Disconnect,
/AppEvents/EventLabels/DeviceDisconnect/DispFileName,SZ,@mmsys.cpl%2C-5829,
/AppEvents/EventLabels/DeviceFail,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/DeviceFail/,SZ,Device Failed to Connect,
/AppEvents/EventLabels/DeviceFail/DispFileName,SZ,@mmsys.cpl%2C-5830,
/AppEvents/EventLabels/EmptyRecycleBin,KEY,,2004-08-19 23:04:06
/AppEvents/EventLabels/EmptyRecycleBin/,SZ,Empty Recycle Bin,
