PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-19 16:59:24
/SAM,KEY,,2004-08-19 16:59:25
/SAM/C,BINARY,%07%00%01%00%00%00%00%00%98%00%00%00%02%00%01%00%01%00%14%80x%00%00%00%88%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00%0E%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%FF%1F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%004%00%02%00%00%00%00%00%14%001%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00?%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00,
/SAM/Domains,KEY,,2004-08-19 16:59:24
/SAM/Domains/,NONE,(null),
/SAM/Domains/Account,KEY,,2004-08-20 15:19:25
/SAM/Domains/Account/F,BINARY,%02%00%01%00%00%00%00%000%99>%E1%0D%86%C4%01%12%00%00%00%00%00%00%00%00%00%00%00@%DE%FF%FF%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%80%00%CC%1D%CF%FB%FF%FF%FF%00%CC%1D%CF%FB%FF%FF%FF%00%00%00%00%00%00%00%00%EC%03%00%00%00%00%00%00%00%00%00%00%00%00%00%00%01%00%00%00%03%00%00%00%01%00%00%00%01%00%01%00%01%00%00%008%00%00%00%D2%E81%CFR+%25%C0%9D#%0AD%DBn3T%7Fu%1C%B6%1B%01>%95%D7r%E0G%15%B8%05%E4%F7%D2%AE%D8%1D%C7?K%F32%9B%A0\%A1%0D%98%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%01%00%00%00%00%00%00%00,
/SAM/Domains/Account/V,BINARY,%00%00%00%00%E0%00%00%00%02%00%01%00%E0%00%00%00%18%00%00%00%00%00%00%00%F8%00%00%00%00%00%00%00%00%00%00%00%F8%00%00%00%00%00%00%00%00%00%00%00%01%00%14%80%C0%00%00%00%D0%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00z%04%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%FF%1F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00|%00%05%00%00%00%00%00%14%00%85%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%85%03%02%00%01%02%00%00%00%00%00%05 %00%00%00!%02%00%00%00%00%18%00%DF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%18%00%D5%03%02%00%01%02%00%00%00%00%00%05 %00%00%00#%02%00%00%00%00%18%00%D5%03%02%00%01%02%00%00%00%00%00%05 %00%00%00$%02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%04%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e,
/SAM/Domains/Account/Aliases,KEY,,2004-08-19 22:34:23
/SAM/Domains/Account/Aliases/,SZ,(null),
