PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-27 15:08:16
/Policy,KEY,,2004-08-19 22:20:13
/Policy/,SZ,(null),
/Policy/Accounts,KEY,,2004-08-19 22:35:20
/Policy/Accounts/,NONE,(null),
/Policy/Accounts/S-1-1-0,KEY,,2004-08-19 16:59:15
/Policy/Accounts/S-1-1-0/,BINARY,(null),
/Policy/Accounts/S-1-1-0/ActSysAc,KEY,,2004-08-19 17:01:53
/Policy/Accounts/S-1-1-0/ActSysAc/,NONE,%02%00%00%00,
/Policy/Accounts/S-1-1-0/Privilgs,KEY,,2004-08-19 17:01:53
/Policy/Accounts/S-1-1-0/Privilgs/,NONE,%01%00%00%00%00%00%00%00%17%00%00%00%00%00%00%00%03%00%00%00,
/Policy/Accounts/S-1-1-0/SecDesc,KEY,,2004-08-19 16:59:14
/Policy/Accounts/S-1-1-0/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-1-0/Sid,KEY,,2004-08-19 16:59:14
/Policy/Accounts/S-1-1-0/Sid/,NONE,%01%01%00%00%00%00%00%01%00%00%00%00,
/Policy/Accounts/S-1-5-19,KEY,,2004-08-19 17:01:48
/Policy/Accounts/S-1-5-19/,BINARY,(null),
/Policy/Accounts/S-1-5-19/Privilgs,KEY,,2004-08-19 17:01:48
/Policy/Accounts/S-1-5-19/Privilgs/,NONE,%03%00%00%00%00%00%00%00%15%00%00%00%00%00%00%00%00%00%00%00%05%00%00%00%00%00%00%00%00%00%00%00%03%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-19/SecDesc,KEY,,2004-08-19 17:01:48
/Policy/Accounts/S-1-5-19/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-19/Sid,KEY,,2004-08-19 17:01:48
/Policy/Accounts/S-1-5-19/Sid/,NONE,%01%01%00%00%00%00%00%05%13%00%00%00,
/Policy/Accounts/S-1-5-20,KEY,,2004-08-19 22:26:08
/Policy/Accounts/S-1-5-20/,BINARY,(null),
/Policy/Accounts/S-1-5-20/ActSysAc,KEY,,2004-08-19 22:26:08
/Policy/Accounts/S-1-5-20/ActSysAc/,NONE,%10%00%00%00,
/Policy/Accounts/S-1-5-20/Privilgs,KEY,,2004-08-19 17:01:50
/Policy/Accounts/S-1-5-20/Privilgs/,NONE,%03%00%00%00%00%00%00%00%15%00%00%00%00%00%00%00%00%00%00%00%05%00%00%00%00%00%00%00%00%00%00%00%03%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-20/SecDesc,KEY,,2004-08-19 17:01:49
/Policy/Accounts/S-1-5-20/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-20/Sid,KEY,,2004-08-19 17:01:49
/Policy/Accounts/S-1-5-20/Sid/,NONE,%01%01%00%00%00%00%00%05%14%00%00%00,
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002,KEY,,2004-08-19 22:35:20
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/,BINARY,(null),
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/ActSysAc,KEY,,2004-08-19 22:35:21
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/ActSysAc/,NONE,%C4%00%00%00,
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/SecDesc,KEY,,2004-08-19 22:35:20
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-1002/Sid,KEY,,2004-08-19 22:35:20
