PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-19 22:33:08
/AppEvents,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/.Default,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/.Default/,SZ,Default Beep,
/AppEvents/EventLabels/.Default/DispFileName,SZ,@mmsys.cpl%2C-5824,
/AppEvents/EventLabels/AppGPFault,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/AppGPFault/,SZ,Program error,
/AppEvents/EventLabels/AppGPFault/DispFileName,SZ,@mmsys.cpl%2C-5825,
/AppEvents/EventLabels/Close,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/Close/,SZ,Close program,
/AppEvents/EventLabels/Close/DispFileName,SZ,@mmsys.cpl%2C-5826,
/AppEvents/EventLabels/CriticalBatteryAlarm,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/CriticalBatteryAlarm/,SZ,Critical Battery Alarm,
/AppEvents/EventLabels/CriticalBatteryAlarm/DispFileName,SZ,@mmsys.cpl%2C-5827,
/AppEvents/EventLabels/DeviceConnect,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/DeviceConnect/,SZ,Device Connect,
/AppEvents/EventLabels/DeviceConnect/DispFileName,SZ,@mmsys.cpl%2C-5828,
/AppEvents/EventLabels/DeviceDisconnect,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/DeviceDisconnect/,SZ,Device Disconnect,
/AppEvents/EventLabels/DeviceDisconnect/DispFileName,SZ,@mmsys.cpl%2C-5829,
/AppEvents/EventLabels/DeviceFail,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/DeviceFail/,SZ,Device Failed to Connect,
/AppEvents/EventLabels/DeviceFail/DispFileName,SZ,@mmsys.cpl%2C-5830,
/AppEvents/EventLabels/EmptyRecycleBin,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/EmptyRecycleBin/,SZ,Empty Recycle Bin,
/AppEvents/EventLabels/EmptyRecycleBin/DispFileName,SZ,@mmsys.cpl%2C-5831,
/AppEvents/EventLabels/LowBatteryAlarm,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/LowBatteryAlarm/,SZ,Low Battery Alarm,
/AppEvents/EventLabels/LowBatteryAlarm/DispFileName,SZ,@mmsys.cpl%2C-5832,
/AppEvents/EventLabels/MailBeep,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/MailBeep/,SZ,New Mail Notification,
/AppEvents/EventLabels/MailBeep/DispFileName,SZ,@mmsys.cpl%2C-5837,
/AppEvents/EventLabels/Maximize,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/Maximize/,SZ,Maximize,
/AppEvents/EventLabels/Maximize/DispFileName,SZ,@mmsys.cpl%2C-5833,
/AppEvents/EventLabels/MenuCommand,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/MenuCommand/,SZ,Menu command,
/AppEvents/EventLabels/MenuCommand/DispFileName,SZ,@mmsys.cpl%2C-5834,
/AppEvents/EventLabels/MenuPopup,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/MenuPopup/,SZ,Menu popup,
/AppEvents/EventLabels/MenuPopup/DispFileName,SZ,@mmsys.cpl%2C-5835,
/AppEvents/EventLabels/Minimize,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/Minimize/,SZ,Minimize,
/AppEvents/EventLabels/Minimize/DispFileName,SZ,@mmsys.cpl%2C-5836,
/AppEvents/EventLabels/Navigating,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/Navigating/,SZ,Start Navigation,
/AppEvents/EventLabels/Navigating/DispFileName,SZ,@mmsys.cpl%2C-5838,
/AppEvents/EventLabels/Open,KEY,,2004-08-19 17:01:55
/AppEvents/EventLabels/Open/,SZ,Open program,
