PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-19 16:56:12
/Classes,KEY,,2004-08-19 16:56:14
/Classes/*,KEY,,2004-08-19 16:56:13
/Classes/*/OpenWithList,KEY,,2004-08-19 16:56:13
/Classes/*/OpenWithList/Notepad.exe,KEY,,2004-08-19 16:56:13
/Classes/*/shellex,KEY,,2004-08-19 16:56:12
/Classes/*/shellex/ContextMenuHandlers,KEY,,2004-08-19 16:56:12
/Classes/*/shellex/ContextMenuHandlers/ExplorerCompressionMenu,KEY,,2004-08-19 16:56:12
/Classes/*/shellex/ContextMenuHandlers/ExplorerCompressionMenu/,SZ,{764BF0E1-F219-11ce-972D-00AA00A14F56},
/Classes/*/shellex/PropertySheetHandlers,KEY,,2004-08-19 16:56:12
/Classes/*/shellex/PropertySheetHandlers/{1F2E5C40-9550-11CE-99D2-00AA006E086C},KEY,,2004-08-19 16:56:12
/Classes/*/shellex/PropertySheetHandlers/{3EA48300-8CF6-101B-84FB-666CCB9BCD32},KEY,,2004-08-19 16:56:12
/Classes/.acw,KEY,,2004-08-19 16:56:12
/Classes/.acw/,SZ,acwfile,
/Classes/.ani,KEY,,2004-08-19 16:56:12
/Classes/.ani/,SZ,anifile,
/Classes/.avi,KEY,,2004-08-19 16:56:12
/Classes/.avi/,SZ,AVIFile,
/Classes/.bat,KEY,,2004-08-19 16:56:12
/Classes/.bat/,SZ,batfile,
/Classes/.bfc,KEY,,2004-08-19 16:56:12
/Classes/.bfc/,SZ,Briefcase,
/Classes/.bfc/ShellNew,KEY,,2004-08-19 16:56:12
/Classes/.bfc/ShellNew/Command,EXPAND_SZ,%25SystemRoot%25\system32\rundll32.exe %25SystemRoot%25\system32\syncui.dll%2CBriefcase_Create %252!d! %251,
/Classes/.bfc/ShellNew/Config,KEY,,2004-08-19 16:56:12
/Classes/.bfc/ShellNew/Config/NoExtension,SZ,,
/Classes/.bkf,KEY,,2004-08-19 16:56:12
/Classes/.bkf/,SZ,msbackupfile,
