PATH,TYPE,VALUE,MTIME
/,KEY,,2004-08-19 16:56:14
/1137,KEY,,2004-08-19 16:56:14
/1137/Execute,KEY,,2004-08-19 16:56:14
/1137/Execute/1,KEY,,2004-08-19 16:56:14
/1137/Execute/1/CommandLine,EXPAND_SZ,%25SystemRoot%25\system32\shmgrate.exe Fix-Folders,
/1137/Execute/2,KEY,,2004-08-19 16:56:14
/1137/Execute/2/CommandLine,EXPAND_SZ,grpconv -p,
/1138,KEY,,2004-08-19 16:56:14
/1138/Hive,KEY,,2004-08-19 16:56:14
/1138/Hive/1,KEY,,2004-08-19 16:56:14
/1138/Hive/1/Action,DWORD,0x00000003,
/1138/Hive/1/KeyName,SZ,Control Panel\Colors,
/1138/Hive/1/Value,SZ,128 128 128,
/1138/Hive/1/ValueName,SZ,InactiveTitle,
/1138/Hive/2,KEY,,2004-08-19 16:56:14
/1138/Hive/2/Action,DWORD,0x00000003,
/1138/Hive/2/KeyName,SZ,Control Panel\Colors,
/1138/Hive/2/Value,SZ,255 255 255,
/1138/Hive/2/ValueName,SZ,InactiveTitleText,
/1138/Hive/3,KEY,,2004-08-19 16:56:14
/1138/Hive/3/Action,DWORD,0x00000003,
/1138/Hive/3/KeyName,SZ,Control Panel\Colors,
/1138/Hive/3/Value,SZ,192 192 192,
/1138/Hive/3/ValueName,SZ,Menu,
/1138/Hive/4,KEY,,2004-08-19 16:56:14
/1138/Hive/4/Action,DWORD,0x00000003,
/1138/Hive/4/KeyName,SZ,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,
/1138/Hive/4/Value,DWORD,0x00000095,
/1138/Hive/4/ValueName,SZ,NoDriveTypeAutoRun,
/1138/Hive/5,KEY,,2004-08-19 16:56:14
/1138/Hive/5/Action,DWORD,0x00000001,
/1138/Hive/5/KeyName,SZ,Control Panel\Desktop\WindowMetrics,
/1140,KEY,,2004-08-19 16:56:14
/1140/Hive,KEY,,2004-08-19 16:56:14
/1140/Hive/1,KEY,,2004-08-19 16:56:14
/1140/Hive/1/Action,DWORD,0x00000001,
/1140/Hive/1/KeyName,SZ,Control Panel\Appearance\Schemes,
/1156,KEY,,2004-08-19 16:56:14
/1156/Hive,KEY,,2004-08-19 16:56:14
/1156/Hive/1,KEY,,2004-08-19 16:56:14
/1156/Hive/1/Action,DWORD,0x00000003,
/1156/Hive/1/KeyName,SZ,Control Panel\Desktop,
/1156/Hive/1/Value,SZ,2,
/1156/Hive/1/ValueName,SZ,FontSmoothing,
/1169,KEY,,2004-08-19 16:56:14
/1169/Hive,KEY,,2004-08-19 16:56:14
/1169/Hive/1,KEY,,2004-08-19 16:56:14
/1169/Hive/1/Action,DWORD,0x00000002,
/1169/Hive/1/KeyName,SZ,Control Panel\Color Schemes,
/1174,KEY,,2004-08-19 16:56:14
/1174/Files,KEY,,2004-08-19 16:56:14
/1174/Files/1,KEY,,2004-08-19 16:56:14
/1174/Files/1/Action,DWORD,0x00000004,
/1174/Files/1/Item,SZ,main\Introducing Windows NT.lnk,
